Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
41,1172,-267,-185,-311,44,-422,216,823,0
42,953,-114,-163,-321,3,-251,26,740,0
43,831,57,-96,-288,-26,-113,161,654,0
44,686,216,-42,-193,-27,-44,279,563,0
45,579,249,-11,-76,-8,-15,369,466,0
46,531,222,-14,9,16,18,424,377,0
49,625,191,-208,12,117,149,314,265,0
50,719,226,-266,-12,130,198,200,259,0
51,868,294,-330,-26,145,247,25,265,0
52,1043,377,-372,-33,141,287,169,276,0
53,1188,481,-374,-39,124,310,335,288,0
54,1222,604,-391,-33,121,311,418,297,0
55,1197,677,-424,-10,138,289,439,302,0
56,1188,672,-468,10,144,242,442,297,0
57,1200,597,-498,3,100,186,429,280,0
58,1168,460,-530,-47,28,140,362,254,0
59,1213,308,-469,-146,-68,140,336,246,0
60,1178,351,-271,-252,-195,174,258,269,0
61,1050,513,-110,-280,-240,222,173,301,0
62,955,666,-20,-241,-229,270,164,326,0
63,931,759,-10,-208,-190,298,201,343,0
64,946,843,-32,-225,-138,277,267,351,0
65,953,925,-33,-262,-83,199,281,348,0
1,1521,1199,-2245,627,-217,-177,1964,333,0
2,2026,1136,-3106,627,-308,-236,2878,414,0
3,2779,1151,-3831,311,-570,-315,3870,475,0
4,3947,1367,-3505,259,-785,-391,4452,563,0
5,4885,1192,-2957,385,-940,-437,4833,671,0
6,5279,1028,-2278,395,-1006,-383,4840,766,0
7,4835,945,-1514,384,-998,-284,4153,834,0
8,4037,897,-921,390,-928,-175,3236,871,0
9,3199,776,-410,392,-840,-86,2317,883,0
10,2415,552,-150,398,-683,-39,1481,864,0
11,2033,420,-48,483,-488,33,1076,829,0
12,2001,373,-122,525,-283,195,1039,788,0
13,1962,369,-440,432,-110,359,1044,745,0
14,1953,483,-321,350,-190,461,1037,718,0
15,1439,607,-37,326,-352,448,562,705,0
16,1271,535,278,413,-362,353,406,695,0
17,1421,299,335,570,-279,319,490,698,0
18,1511,68,295,605,-266,446,541,717,0
19,1754,387,559,581,-248,622,881,751,0
20,1916,757,854,633,-95,664,1230,785,0
21,2311,888,777,723,190,634,1594,824,0
22,2469,1003,447,718,362,627,1702,863,0
23,2576,1334,-158,498,627,651,1905,896,0
24,3426,2009,225,331,640,626,2977,908,0
25,2381,2119,-133,412,609,454,2190,899,0
26,3311,2113,76,506,862,307,2928,928,0
27,2722,1676,-1111,604,871,147,2384,956,0
28,3643,1528,-942,408,824,-72,3061,949,0
29,3213,1885,-782,455,726,-53,2806,931,0
30,3555,1571,-798,646,860,-229,2967,965,0
31,3778,1134,-746,841,606,-462,3014,998,0
32,3588,863,-325,996,446,-616,2704,1049,0
33,3353,359,-156,1032,375,-812,2375,1112,0
