Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
65,770,492,212,-240,-113,95,222,376,2
1,1283,1027,-716,-385,-659,-87,792,560,2
2,1284,1300,-603,-478,-697,-180,924,621,2
3,1210,1606,-385,-518,-738,-341,1047,689,2
4,800,1640,-173,-426,-731,-525,832,750,2
5,1257,1921,-22,-322,-591,-591,1295,779,2
6,1200,1784,-101,-253,-498,-671,1152,798,2
7,1099,1660,-69,-282,-434,-701,992,812,2
8,957,1521,21,-323,-357,-698,797,819,2
9,748,1252,121,-314,-289,-692,463,818,2
10,542,805,190,-307,-217,-669,11,808,2
11,369,406,242,-305,-171,-602,400,785,2
12,205,47,297,-332,-189,-498,636,753,2
13,-19,-213,369,-334,-219,-411,573,717,2
14,-240,-377,432,-334,-234,-361,378,682,2
15,-340,-429,426,-308,-248,-266,306,641,2
16,-419,-556,490,-325,-241,-144,148,599,2
17,-572,-747,726,-394,-210,-33,188,568,2
18,-675,-783,841,-426,-182,34,332,547,2
19,-607,-696,948,-418,-155,130,323,530,2
20,-668,-619,1099,-369,-105,205,427,511,2
21,-680,-519,1167,-332,18,290,446,497,2
22,-466,-487,1265,-288,191,373,433,499,2
23,-255,-313,1203,-299,318,425,268,521,2
24,21,19,1154,-271,466,435,154,555,2
25,446,210,926,-169,630,427,49,600,2
26,1414,-92,-168,-217,655,402,426,639,2
27,2415,-11,-955,-501,499,533,1596,688,2
28,1873,1799,-2601,-146,578,429,2675,697,2
29,93,2142,-2812,-90,462,469,2536,691,2
30,-1168,2378,-2182,-43,172,-131,2432,596,2
31,-205,-376,-1427,467,346,-132,489,596,2
32,-10,-1462,-935,-1,142,300,735,543,2
33,-286,609,-1508,-251,88,-8,651,488,2
34,-650,1427,-1214,-3,6,-87,983,407,2
35,-316,-1,-1003,243,110,-32,51,379,2
36,-404,-113,-861,-17,1,-5,42,307,2
37,-307,361,-755,-48,22,9,108,256,2
38,-297,271,-645,-2,39,-7,239,212,2
39,-226,126,-563,-22,55,3,380,182,2
40,-164,109,-459,-100,46,21,500,168,2
41,-124,195,-511,-138,61,35,439,165,2
42,-14,138,-465,-222,54,45,514,178,2
43,-64,198,-374,-296,51,71,572,204,2
44,-8,274,-315,-322,87,98,582,233,2
45,74,453,-309,-316,139,127,446,259,2
46,100,575,-314,-290,179,137,337,281,2
47,172,665,-371,-228,256,140,219,298,2
48,328,716,-366,-190,296,153,131,315,2
49,367,662,-431,-157,305,179,128,329,2
50,516,744,-402,-124,297,197,9,339,2
51,599,726,-455,-79,308,234,45,350,2
52,670,703,-455,-65,319,242,72,361,2
53,784,771,-488,-19,313,257,203,369,2
54,951,724,-571,14,307,255,324,375,2
55,1099,650,-587,-4,279,238,405,373,2
56,1246,674,-584,-41,210,241,532,363,2
57,1357,740,-493,-48,154,241,622,348,2
58,1395,719,-423,-61,119,231,625,332,2
