Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
58,1077,635,-54,-89,52,198,251,262,7
59,1067,677,-36,-74,51,162,264,247,7
60,1043,686,-38,-38,51,117,248,224,7
61,1028,642,-63,-8,52,70,213,196,7
62,1004,569,-98,0,38,17,158,165,7
63,1006,519,-98,-4,19,-31,136,139,7
64,983,475,-84,-3,-3,-65,94,124,7
65,969,441,-54,5,-18,-84,155,117,7
1,1909,1944,-489,-36,24,-160,1768,144,7
2,2421,2342,-171,116,-181,-307,2372,190,7
3,3072,1802,-48,99,-360,-544,2561,283,7
4,2947,2711,341,-110,-412,-586,3018,371,7
5,3247,3605,1469,134,-304,-590,4069,432,7
6,4527,3321,1170,481,-178,-848,4735,544,7
7,4757,2225,1320,805,-90,-879,4414,674,7
8,4862,1120,1671,725,-266,-865,4261,771,7
9,4112,769,1545,597,-368,-880,3459,842,7
10,3263,501,1352,549,-257,-806,2567,875,7
11,2864,198,1138,482,-150,-685,2088,870,7
12,2026,105,1003,455,-173,-577,1263,847,7
13,1625,34,872,563,-104,-424,844,820,7
14,1420,-407,613,606,-123,-256,599,789,7
15,1335,-634,506,521,-236,-128,562,749,7
16,1019,-507,643,461,-323,-50,307,712,7
17,905,-813,662,443,-326,-2,385,679,7
18,844,-1031,718,340,-333,-8,513,638,7
19,339,-863,825,383,-199,155,241,602,7
20,509,-868,793,498,-5,369,281,605,7
21,563,-709,672,602,174,612,127,659,7
22,577,-403,482,611,317,837,146,744,7
23,993,-121,272,540,358,984,36,831,7
24,1114,204,313,417,224,1014,174,888,7
25,1230,175,237,304,142,920,264,906,7
26,1108,661,321,260,257,978,329,934,7
27,2134,725,694,156,253,1133,1358,981,7
28,2620,1229,1481,-111,8,1026,2250,991,7
29,1917,2385,1208,124,359,1051,2289,1016,7
30,3467,1164,1173,298,965,1104,2840,1112,7
31,4605,1569,1610,250,913,914,4124,1153,7
32,4307,2562,809,621,1003,957,4076,1226,7
33,4329,1376,70,859,1066,440,3542,1268,7
34,4086,1449,-50,721,379,-185,3335,1181,7
35,3784,1674,760,1114,99,-228,3206,1173,7
36,4251,365,1027,1418,199,-423,3388,1237,7
37,4356,-2581,764,1241,-176,-756,4120,1282,7
38,2188,-2031,44,965,-526,-978,1985,1320,7
39,1107,-1031,-161,-166,-212,-176,521,1120,7
40,1133,-366,-22,-501,-105,-154,190,1003,7
41,710,52,53,-523,16,-228,286,916,7
42,868,8,80,-365,21,-237,128,820,7
43,796,114,148,-209,-95,-139,182,709,7
44,703,181,211,-45,-215,13,244,611,7
45,602,213,338,85,-274,128,277,552,7
46,497,290,407,150,-245,236,295,515,7
47,567,335,296,90,-139,341,277,488,7
48,749,502,177,-33,-58,341,81,460,7
49,890,765,224,-113,-55,278,194,429,7
50,878,903,252,-98,-69,229,284,394,7
51,823,829,162,-49,-20,240,179,364,7
52,881,708,91,-67,10,256,133,344,7
53,925,666,89,-126,0,237,143,329,7
54,937,803,161,-112,0,246,244,317,7
55,954,799,191,-27,13,269,258,308,7
56,942,709,133,38,36,268,186,301,7
57,961,615,42,60,94,252,141,295,7
58,1038,520,-37,31,124,235,161,290,7
59,1073,492,-53,-25,108,216,181,280,7
60,1090,556,-35,-78,80,187,224,267,7
61,1086,593,-14,-86,69,153,237,251,7
62,1042,614,-19,-67,56,122,209,231,7
63,1022,629,-4,-34,43,106,200,208,7
64,971,606,-24,-8,42,78,144,184,7
65,1009,579,-39,-3,42,34,192,158,7
1,1570,2350,-49,22,-190,6,1826,180,7
2,2014,2461,197,204,-237,-130,2186,212,7
3,2445,2508,108,171,-158,-464,2504,273,7
4,3582,3162,287,229,-23,-568,3786,341,7
5,4780,3013,643,329,-44,-779,4686,442,7
6,6234,2924,1237,476,-167,-1003,5995,578,7
7,6268,2973,2101,663,-381,-942,6248,705,7
8,6902,2607,2264,695,-466,-1058,6717,833,7
9,7005,1471,2008,556,-308,-1430,6434,979,7
10,5870,719,2064,725,-103,-1336,5263,1088,7
11,4337,-154,1741,958,-218,-937,3675,1142,7
12,2646,-751,1162,765,-334,-614,1985,1120,7
13,1931,-1366,680,416,-290,-471,1461,1035,7
14,1171,-1284,437,108,-161,-243,791,890,7
15,1315,-661,590,42,-169,62,585,748,7
16,1025,98,661,410,-100,163,223,689,7
17,932,-285,771,907,13,205,242,737,7
18,1085,-809,756,1038,3,286,550,805,7
19,933,-1095,583,851,-36,404,552,832,7
20,656,-912,567,532,-36,478,258,809,7
21,567,-404,611,368,72,578,73,784,7
22,606,15,544,470,198,693,185,799,7
23,775,25,436,595,323,719,110,837,7
26,1618,251,1004,908,867,971,920,1096,7
27,3343,51,329,582,1233,704,2359,1184,7
28,3883,1250,199,111,1116,428,3084,1187,7
29,4284,2049,929,326,1296,372,3838,1227,7
30,6182,959,598,644,1569,107,5284,1321,7
31,5991,635,-644,500,1286,-100,5058,1333,7
32,4900,575,-1576,360,817,-170,4179,1248,7
33,4355,603,-172,283,201,-333,3399,1095,7
34,3687,311,427,789,58,-426,2724,1055,7
35,3148,-1243,-194,1065,37,-398,2390,1072,7
36,2343,-1529,-160,675,-75,-464,1802,1022,7
37,1894,-1312,-364,165,-33,-412,1332,906,7
38,1174,-830,-250,-112,-49,-301,459,790,7
39,1102,-225,-65,-181,-35,-193,126,685,7
40,1071,163,88,-27,-58,-84,86,569,7
41,964,160,169,143,-109,-18,8,491,7
42,871,42,181,185,-155,30,109,441,7
43,837,49,166,118,-130,81,145,391,7
44,777,163,133,35,-54,122,195,340,7
45,806,247,108,-13,1,131,150,298,7
46,861,301,87,-28,16,135,83,266,7
47,868,394,64,11,41,172,44,248,7
48,948,404,30,66,77,212,30,246,7
49,1005,372,-46,82,95,229,72,249,7
50,1010,329,-116,56,92,218,68,247,7
51,1003,277,-184,-16,78,185,56,238,7
52,997,263,-191,-118,46,149,48,229,7
53,1013,302,-124,-207,1,118,64,231,7
54,1004,395,-32,-244,-30,102,79,238,7
55,963,463,19,-219,-33,106,68,239,7
56,930,452,24,-191,-25,103,34,235,7
57,908,456,21,-181,-1,92,16,228,7
58,890,461,-5,-166,35,80,2,220,7
59,958,471,-22,-137,59,77,67,209,7
60,1053,507,-48,-88,70,82,169,195,7
61,1082,491,-103,-37,76,81,192,179,7
62,1109,461,-155,-23,64,58,210,161,7
63,1098,447,-179,-42,41,8,198,141,7
64,1079,408,-197,-73,7,-62,170,132,7
65,1074,370,-173,-93,-35,-122,148,137,7
1,1695,2483,-29,228,-8,-25,2006,167,7
2,2360,2917,-218,299,1,-240,2758,210,7
3,3290,2994,-87,344,-127,-472,3449,287,7
4,4286,3532,227,470,-214,-567,4558,383,7
5,5336,3210,775,688,-407,-657,5275,513,7
6,5999,2632,1212,754,-524,-812,5662,655,7
7,5842,2006,1766,841,-624,-781,5424,785,7
8,5408,1229,1889,830,-663,-723,4858,885,7
9,4246,973,1715,768,-592,-618,3681,938,7
10,3368,711,1610,828,-462,-423,2800,958,7
11,2406,439,1319,948,-392,-175,1778,974,7
12,1967,0,904,893,-399,38,1164,975,7
13,1540,-132,737,696,-447,154,712,948,7
14,1290,-76,843,591,-381,288,542,910,7
15,1280,19,943,748,-316,434,589,912,7
16,1357,-21,708,846,-53,625,530,940,7
17,1396,71,793,728,-30,679,607,951,7
18,1125,405,1046,683,-14,660,588,950,7
19,1198,633,1318,797,76,672,890,969,7
20,1166,866,1298,943,211,663,947,1009,7
