AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,isDone,Activity
354,139,-60,-587,91,418,614,426,False,1
648,541,-12,-633,129,510,155,505,False,1
805,846,36,-668,32,517,168,573,False,1
1035,1041,162,-722,-73,455,476,630,False,1
1176,1385,352,-678,-199,420,850,668,False,1
1200,1708,504,-392,-295,371,1147,657,False,1
1059,1707,359,-55,-320,367,1040,624,False,1
982,1459,121,74,-231,382,762,589,False,1
961,1257,-8,15,-131,367,582,549,False,1
1049,1164,15,-100,-56,375,567,518,False,1
1055,1166,9,-168,-13,366,572,494,False,1
1097,1215,52,-185,1,297,637,465,False,1
1033,1156,80,-132,-5,183,552,417,False,1
945,990,126,-89,-23,84,374,358,False,1
868,817,95,-40,-9,28,195,296,False,1
834,696,56,-17,1,3,87,240,False,1
810,648,47,-10,11,1,38,195,False,1
788,622,26,4,21,2,4,160,False,1
814,622,18,24,31,2,24,136,False,1
830,608,12,54,32,-7,28,121,False,1
952,1544,-966,109,15,15,1055,60,False,1
1161,2187,-883,149,-223,-98,1628,105,False,1
1318,2265,-495,236,-307,-287,1666,180,False,1
1877,1684,-151,426,-249,-496,1526,407,False,1
1777,1715,169,430,-265,-561,1475,476,False,1
1752,1658,587,417,-191,-599,1482,531,False,1
1753,1489,723,511,-133,-614,1410,587,False,1
1681,1074,856,504,-50,-594,1170,625,False,1
1435,933,975,388,-3,-617,969,646,False,1
1403,596,1083,360,93,-631,869,663,False,1
1287,-113,824,343,177,-600,532,673,False,1
1029,-561,527,240,163,-569,285,666,False,1
978,-829,-59,137,177,-533,283,648,False,1
907,-1441,-739,85,179,-431,856,613,False,1
1021,-2172,-1383,59,106,-260,1769,548,False,1
1104,-2427,-1830,54,103,-31,2233,462,False,1
1160,-2163,-1891,85,-33,189,2098,411,False,1
974,-1544,-1412,136,-136,373,1307,413,False,1
822,-1094,-1178,134,-85,489,805,433,False,1
918,-440,-1151,0,-49,530,536,453,False,1
865,481,-897,-81,-134,477,335,462,False,1
312,1510,-407,44,-118,405,594,455,False,1
23,1502,-350,83,-8,255,542,417,False,1
-42,1095,-599,-65,34,83,248,356,False,1
-82,522,-756,-133,20,-1,77,311,False,1
-62,112,-919,-72,4,8,72,263,False,1
-28,-120,-1052,-86,-23,21,59,229,False,1
57,-154,-1014,-112,-50,17,27,207,False,1
223,-217,-942,-116,-75,30,7,194,False,1
264,-263,-771,-152,-105,47,143,193,False,1
203,-185,-483,-208,-118,58,444,204,False,1
81,-82,-239,-208,-84,69,734,210,False,1
43,-124,-155,-184,13,86,796,208,False,1
90,-275,-182,-221,113,133,658,223,False,1
183,-308,-189,-311,189,208,594,262,False,1
394,-200,-161,-418,241,308,529,324,False,1
525,55,-170,-514,282,434,445,405,False,1
886,443,-69,-582,259,512,7,487,False,1
1199,861,-76,-640,255,531,478,563,False,1
1465,1343,24,-576,138,533,987,610,False,1
1552,1373,2,-452,33,493,1072,622,False,1
1623,1306,22,-402,-4,471,1083,621,False,1
1692,1312,49,-331,-25,469,1141,611,False,1
1603,1351,84,-229,-38,447,1098,590,False,1
1390,1332,54,-138,-14,387,925,554,False,1
1221,1224,-24,-106,33,294,729,506,False,1
1110,1043,-111,-136,64,182,527,452,False,1
1045,785,-184,-203,55,52,319,404,False,1
986,553,-195,-293,30,-35,147,383,False,1
951,482,-120,-332,-1,-47,72,373,False,1
955,530,-11,-282,-42,-33,92,356,False,1
946,574,57,-175,-76,-22,107,323,False,1
912,560,73,-52,-69,-17,72,276,False,1
901,485,33,26,-34,-18,23,230,False,1
905,404,-2,54,6,-25,8,195,False,1
