Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
30,1002,763,43,221,157,-100,260,294,0
31,1191,747,76,221,113,-201,407,299,0
32,1430,704,178,248,55,-291,603,316,0
33,1638,644,280,275,-10,-363,782,344,0
34,1675,529,313,278,-54,-426,784,377,0
35,1669,419,290,232,-38,-466,745,406,0
36,1625,358,258,152,8,-473,683,424,0
37,1536,332,212,66,59,-448,585,430,0
38,1506,369,182,-8,88,-415,561,429,0
39,1411,402,151,-34,88,-394,474,424,0
40,1291,392,148,-24,72,-382,357,417,0
41,1163,344,140,2,52,-367,220,407,0
42,1039,279,148,35,26,-339,85,394,0
43,903,200,135,60,9,-299,65,376,0
44,809,130,130,69,2,-251,170,353,0
45,720,68,104,58,0,-184,269,321,0
46,619,31,75,35,1,-106,375,279,0
47,575,4,42,9,9,-30,423,229,0
48,580,0,-15,-15,10,43,419,192,0
49,710,-8,-60,-65,-4,141,287,185,0
50,931,122,-43,-126,-44,251,60,205,0
51,1239,270,23,-139,-95,340,268,239,0
52,1584,397,97,-136,-180,419,635,286,0
53,1714,505,156,-140,-261,493,793,344,0
54,1772,552,218,-155,-319,540,868,404,0
55,1767,599,252,-205,-341,550,882,459,0
56,1827,643,291,-265,-355,523,958,504,0
57,1893,698,432,-312,-384,462,1063,538,0
58,1713,731,469,-329,-386,375,920,557,0
59,1420,728,469,-302,-320,301,663,552,0
60,1170,698,426,-252,-214,235,427,522,0
61,987,676,370,-188,-123,166,252,474,0
62,875,661,299,-101,-44,123,136,412,0
63,846,598,213,-10,22,97,57,349,0
64,820,530,158,35,51,87,10,300,0
65,771,516,100,52,75,101,283,267,0
1,1526,540,-22,80,663,184,618,505,0
4,1203,916,-39,401,265,423,512,659,0
5,1189,332,-367,478,46,425,287,656,0
6,1310,520,-233,355,-233,340,428,633,0
7,1489,647,-16,350,-447,228,623,629,0
8,1555,567,98,231,-602,96,658,633,0
9,1407,422,140,4,-620,-48,475,630,0
10,1211,349,185,-230,-523,-180,273,624,0
11,1011,361,253,-403,-368,-250,102,619,0
12,940,461,315,-450,-210,-270,93,608,0
13,994,587,330,-377,-105,-281,200,583,0
14,1170,687,307,-213,-38,-293,391,539,0
15,1301,663,304,-13,-25,-283,491,488,0
16,1361,539,302,127,-58,-266,494,450,0
17,1314,425,303,158,-98,-257,413,423,0
18,1228,325,269,101,-111,-258,298,398,0
19,1171,278,245,-28,-110,-276,228,378,0
20,1115,291,240,-159,-80,-296,177,371,0
21,1067,364,251,-224,-27,-302,154,372,0
22,1047,414,250,-197,16,-293,153,368,0
23,1010,403,225,-120,39,-276,110,355,0
24,954,338,197,-40,49,-250,31,335,0
25,871,253,159,16,46,-211,79,311,0
26,759,170,122,40,39,-162,212,283,0
27,672,105,83,32,37,-105,314,249,0
28,621,54,33,-1,33,-41,375,210,0
29,595,-3,-10,-52,22,17,404,179,0
30,654,8,-13,-109,8,95,345,172,0
31,789,106,9,-133,-23,195,203,185,0
32,977,232,64,-115,-75,295,6,213,0
33,1184,337,109,-94,-116,379,235,252,0
34,1381,399,128,-99,-124,450,443,297,0
35,1675,484,196,-127,-132,515,754,346,0
36,1636,655,117,-186,7,601,766,403,0
37,2589,1214,-368,-575,-65,718,1883,507,0
38,2332,655,531,-563,-490,238,1479,562,0
39,2057,969,765,-374,-662,148,1399,604,0
40,1866,673,808,-264,-649,200,1141,629,0
41,1368,519,572,-282,-621,182,570,644,0
42,815,354,481,-380,-428,110,10,631,0
43,580,446,532,-388,-225,38,95,595,0
44,508,554,378,-270,-64,56,158,533,0
45,634,627,316,-114,23,58,53,452,0
46,640,611,268,28,49,31,75,374,0
47,631,538,208,109,62,-5,145,324,0
